Grid_ID,Lat,Lon,All_Richness,Widespread_Richness,Intermediate_Richness,Restricted_Richness,Highly_restricted_Richness,Continent,TEMPR,PREC,TEMP,AREA,PERIMETER,Hw,TEMPLGM,PRECLGM,ALTR,ALTM,HII,MDE_Continent,MDE_Globe,TEMPWATER
7386,26.5160007,-8.5,5,3,2,,,Africa,35.26335416,25.21604167,24.0797144,2.02E-05,0.057499999,0.000218849,-3.5517521,-31.31916667,119,420.65625,0.191041667,10.12,17.13,24.80288917
7388,26.5160007,-6.5,1,,1,,,Africa,38.28038887,17.29347222,25.84332232,0.000229125,0.293500011,0.001920352,-3.416478024,19.95840278,93,375.3489583,1.056388889,9.63,16.78,26.3019107
7389,26.5160007,-5.5,4,3,1,,,Africa,39.26995829,14.16375,26.20425001,8.75E-06,0.017999999,0.000101907,-3.266342287,19.33763889,154,413.9513889,0.411319444,9.72,16.74,27.02837009
7399,26.5160007,4.5,3,3,,,,Africa,37.55984726,22.46395833,25.03039294,5.17E-05,0.15,0.000510171,-2.225144416,-19.53090278,894,548.53125,0,0.09,0.04,25.78556747
7402,26.5160007,7.5,4,2,1,,1,Africa,36.42025695,26.50895833,24.06386777,1.27E-05,0.0195,0.00014305,-2.201701381,-19.26395833,886,721.7378472,1.788055556,7.55,6.74,24.5979824
7403,26.5160007,8.5,2,1,1,,,Africa,36.1126666,24.66277778,24.33581191,0.000783847,0.985888542,0.00560552,-2.13900812,-11.68138889,714,672.671875,2.921597222,7.47,6.67,25.82529073
7426,26.5160007,31.5,2,2,,,,Africa,32.86356255,1.103611111,22.53256133,0.008987698,3.001302371,-2.693752196,-2.514813418,0.575069444,416,265.3090278,12.67958333,3.24,5.27,23.9164664
7427,26.5160007,32.5,2,2,,,,Africa,32.31881944,2.398055556,22.84486604,0.007720911,2.484632835,-2.140014751,-2.257739009,1.412777778,526,319.1736111,11.590625,3.35,6.71,24.64101269
7444,26.5160007,49.5,1,1,,,,Asia,32.23036494,84.02467523,26.04985754,0.006589416,5.071665604,0.03309396,-2.945460346,-127.8909722,209,58.82709447,12.54016921,0.68,0.55,28.28255203
7445,26.5160007,50.5,2,2,,,,Asia,29.53644602,79.14544426,26.27871626,0.000653062,0.883499995,0.004789454,-2.883212055,-92.07527778,66,9.420168067,41.20409323,0.71,0.61,29.1430992
7450,26.5160007,56.5,2,2,,,,Asia,23.38992333,210.8786093,26.37309467,0.000251375,0.527999974,0.002083538,-2.514645276,-273.549375,1286,175.2920354,19.42844677,2.04,1.8,27.59461186
7460,26.5160007,66.5,1,1,,,,Asia,32.53680554,320.3802083,24.20961314,7.72E-05,0.124000002,0.000730909,-1.439363411,53.939375,1528,692.2986111,16.35270833,3.78,7.77,26.47919072
7461,26.5160007,67.5,1,1,,,,Asia,35.23578474,191.3242361,26.22434638,0.034847587,11.56894122,-0.351444694,-0.882701996,72.00854167,1276,255.2170139,20.596875,4.83,9.58,28.29788694
7462,26.5160007,68.5,3,2,,1,,Asia,36.99359021,128.9377778,26.91297336,0.011048162,15.25491595,0.269079813,-0.061199929,62.11486111,47,37.890625,23.17347222,4.93,9.35,28.77514413
7465,26.5160007,71.5,1,1,,,,Asia,34.34085398,197.6695833,26.71616812,0.001816438,1.143500004,0.011463316,2.38191959,76.84777778,170,242.3663194,16.88520833,0.04,0.03,28.27892
7467,26.5160007,73.5,2,2,,,,Asia,33.32689566,377.1769444,26.31851505,0.000918114,0.763722905,0.006420545,3.327484356,145.5302778,193,280.4409722,25.68423611,9.8,19.5,27.79030443
7468,26.5160007,74.5,1,1,,,,Asia,33.25043047,408.7997222,25.62858246,0.006754168,7.054278575,0.033754601,3.483459234,153.3667361,258,401.0607639,25.43618056,15.99,26.29,26.45882825
7469,26.5160007,75.5,6,6,,,,Asia,33.78431934,551.6566667,25.77765681,0.019934355,15.17783281,0.078049193,3.475146428,200.7784028,256,338.2465278,26.37645833,20.5,31.75,26.73877885
7470,26.5160007,76.5,4,4,,,,Asia,34.30505557,705.8157639,25.65822973,0.009628368,8.653519609,0.405427349,3.390328423,248.4956944,317,284.3211806,25.11145833,23.1,34.48,27.23565702
7472,26.5160007,78.5,5,4,,1,,Asia,35.39901387,869.0534722,25.77576244,0.009914561,6.612440181,-4.554425303,2.891301315,298.2772222,174,169.0972222,25.033125,26.22,38.76,27.03191621
7473,26.5160007,79.5,3,3,,,,Asia,34.43799983,865.6945139,25.7421768,0.011952876,4.992241965,-6.790069202,2.182714073,282.4299306,52,138.4479167,25.84986111,27.36,40.39,26.46309419
7474,26.5160007,80.5,9,9,,,,Asia,33.2249304,936.8115278,25.52590395,0.012612439,5.310394218,-5.568492736,1.107053838,258.5620833,30,123.6475694,29.53111111,28.57,41.62,26.75162529
7475,26.5160007,81.5,4,4,,,,Asia,32.03518767,993.1211806,25.33484113,0.006167887,2.492004152,-0.950611746,0.03457838,250.6547222,32,110.1857639,27.10465278,28.08,42.69,26.08032523
7476,26.5160007,82.5,4,4,,,,Asia,31.26094431,1071.256181,25.1714334,0.011426074,5.016597793,-3.426946735,-0.53383304,235.5234028,28,91.20833333,27.43229167,28.48,42.82,25.54377507
7477,26.5160007,83.5,13,8,4,1,,Asia,30.0099862,1165.701806,25.12937409,0.022908836,14.05033626,-6.166071916,-0.872934308,217.3411111,26,78.015625,27.83048611,28.3,43.61,26.01167656
7478,26.5160007,84.5,6,4,1,1,,Asia,28.45215963,1157.721597,24.9258223,0.023049089,15.99990008,-7.551586259,-1.262045135,175.6285417,31,70.96180556,27.264375,27.13,43.21,25.51466778
7479,26.5160007,85.5,5,4,1,,,Asia,26.91747216,1224.965486,24.34562786,0.01433974,16.73658293,0.073729863,-1.662773166,130.6803472,229,70.29861111,25.80111111,27.96,44.22,25.51884626
7480,26.5160007,86.5,7,7,,,,Asia,25.10491662,1268.658681,24.03759199,0.012326384,5.354112616,-3.191542617,-2.055587362,109.3997917,1606,155.984375,24.67833333,27.04,43.87,23.81673989
7481,26.5160007,87.5,14,13,1,,,Asia,23.49910411,1923.262292,24.21969383,0.003990537,1.135323934,0.081806995,-2.540234082,152.6568056,1859,272.2864583,24.32923611,27.19,44.87,22.41471532
7482,26.5160007,88.5,13,13,,,,Asia,21.28726381,2949.270139,24.3482002,0.009008698,4.235856583,-1.51023988,-3.028238753,263.6438194,2011,206.8524306,27.91205891,27.6,44.98,21.7420782
7483,26.5160007,89.5,15,13,2,,,Asia,20.23337488,3177.451111,23.44295483,0.005248029,4.824160564,0.053594975,-3.215641208,306.6531944,2894,302.4826389,25.08201389,26.99,45.25,20.34546195
7484,26.5160007,90.5,40,33,6,1,,Asia,19.69422218,3018.297292,23.67039814,0.064021178,20.32820848,-28.18302437,-3.125586249,277.004375,2306,235.7725694,23.34597222,26.78,45.63,20.96859186
7485,26.5160007,91.5,56,42,12,2,,Asia,20.1856041,2223.740347,23.19755963,0.031460981,18.66098051,-5.940225301,-2.991265938,181.0784722,1786,231.2152778,23.25722222,26.5,46.22,20.86455116
7486,26.5160007,92.5,56,47,6,3,,Asia,21.00316662,1857.290278,23.96285417,0.047828437,24.94728323,-10.61347247,-3.001141799,126.2242361,1389,135.0503472,22.87986111,25.97,46.72,21.19213927
7487,26.5160007,93.5,83,67,13,3,,Asia,22.07111117,2072.538472,23.34857552,0.038140282,8.967160116,-7.931998121,-3.205869501,65.02138889,1062,242.5607639,20.13055556,26.43,46.17,21.64465757
7488,26.5160007,94.5,44,38,5,1,,Asia,21.87412487,2170.960278,21.68337932,0.019478797,6.361921888,-3.063920523,-3.471086144,-29.15958333,2021,558.3489583,18.91979167,25.87,46.26,20.39731994
7490,26.5160007,96.5,14,8,3,2,1,Asia,20.95074305,3218.975625,21.24875434,0.004907807,1.879614516,-0.604222988,-3.703110804,53.675625,1843,511.6944444,5.084513889,28.79,48.9,19.09611993
7491,26.5160007,97.5,1,1,,,,Asia,20.80218056,3059.991181,19.48705325,0.002457054,0.872811197,0,-3.606640054,-40.15194444,2442,829.2517361,3.363472222,30.77,50.12,17.79543858
7492,26.5160007,98.5,58,51,5,2,,Asia,21.95248612,1575.916944,13.08248728,1.58E-05,0.0355,0.000174174,-3.529691263,-111.3864583,3175,2197.395833,7.732569444,31.85,50.58,11.25508572
7493,26.5160007,99.5,70,55,13,2,,Asia,23.42121528,930.1211111,11.16862818,0.001903063,1.2855,0.011921337,-3.399929108,-74.35638889,2183,2754.090278,15.87791667,32.36,51.7,9.475175815
7494,26.5160007,100.5,94,81,11,2,,Asia,23.9341736,800.6172917,13.77010474,0.016345283,7.622920383,0.067241485,-3.17660215,-6.061597222,2334,2361.090278,16.25902778,33.11,51.45,12.38407314
7495,26.5160007,101.5,76,68,7,1,,Asia,24.10236111,795.4495833,16.60414525,0.008801438,7.614626269,0.0416558,-2.683219908,39.81069444,2151,1867.548611,18.41319444,33.41,51.63,15.36308081
7496,26.5160007,102.5,83,72,10,1,,Asia,23.72710417,883.5559028,14.64776708,0.006629448,4.629794187,-3.046064152,-2.032461216,96.67847222,3097,2087.420139,16.91166667,33.73,51.18,14.5153426
7497,26.5160007,103.5,26,24,1,1,,Asia,23.59279168,904.5367361,12.94190249,0.004157923,3.878280379,0.352413567,-1.425017639,122.321875,2605,2190.473958,18.15729167,33.31,50.39,13.39982047
7498,26.5160007,104.5,18,16,1,1,,Asia,23.93065278,1042.008542,12.24823322,0.003297063,2.285500007,0.0188418,-1.317409729,140.4618056,1576,2014.763889,19.12819444,33.05,51.29,13.00841961
7499,26.5160007,105.5,21,18,2,1,,Asia,25.00983331,1143.976875,13.95450608,0.008897809,9.369294855,0.042015012,-1.670450214,105.7929861,1178,1494.524306,21.60729167,32.62,50.08,14.44509701
7500,26.5160007,106.5,51,40,5,5,1,Asia,25.95802776,1138.608333,14.462989,0.0069854,9.232778749,0.034675056,-2.073646097,36.31236111,579,1271.963542,19.83083333,32.45,49.94,15.01613117
7501,26.5160007,107.5,50,45,5,,,Asia,27.34965277,1175.989306,14.86089584,0.000540688,1.184500009,0.004067413,-2.309185464,-29.32159722,1031,1036.574653,18.31590278,31.26,49.03,14.95079785
7502,26.5160007,108.5,39,38,1,,,Asia,28.09404861,1219.287778,15.11650868,0.003717696,5.993311901,0.020799211,-2.377873855,-37.48152778,1322,843.9079861,16.80368056,29.77,48.21,15.14292597
7503,26.5160007,109.5,59,51,6,2,,Asia,28.65613195,1330.844236,16.15047338,0.002926859,4.864452259,0.017074783,-2.349055286,-24.00118056,923,549.8020833,16.58291667,29.35,47.37,15.86765266
7504,26.5160007,110.5,93,81,10,2,,Asia,28.58895138,1482.123264,15.33571962,0.001402863,2.730239351,0.009215743,-2.255950208,-27.13215278,1501,734.8142361,18.03923611,28.67,45.57,15.46484447
7505,26.5160007,111.5,52,49,3,,,Asia,29.58988197,1411.456736,17.3030243,0.001226625,3.052500025,0.008222667,-2.28814292,-47.50798611,1147,315.4392361,20.48555556,26.94,44.65,16.72973638
7506,26.5160007,112.5,22,20,2,,,Asia,30.42019446,1436.091458,17.9078316,0.009837883,10.22573657,-1.568653604,-2.447822024,-88.17375,938,199.5208333,21.55479167,25.44,43.64,18.14841798
7507,26.5160007,113.5,67,57,8,2,,Asia,30.07454165,1523.945694,16.84858246,0.001619555,3.217052703,0.01040662,-2.681951094,-106.6694444,1625,396.46875,17.47048611,24.39,41.99,17.84045795
7508,26.5160007,114.5,86,67,15,4,,Asia,29.91821524,1540.564236,17.15252169,0.011337792,10.07159675,-0.47912868,-2.86416926,-157.8201389,1656,364.8819444,19.74277778,22.86,41.09,18.37294266
7509,26.5160007,115.5,40,34,5,1,,Asia,29.74952774,1607.28875,17.7522665,0.003918217,4.516609314,0.382866496,-2.853977756,-197.9351389,941,311.1510417,17.90409722,21.63,39.7,19.19923819
7510,26.5160007,116.5,58,51,5,2,,Asia,29.19734718,1701.491528,17.5918209,0.002042002,3.709932715,0.012647804,-2.639606777,-225.8022917,1148,432.1944444,19.116875,20.36,37.33,18.90910519
7511,26.5160007,117.5,125,101,19,5,,Asia,27.68052774,1677.632639,17.91317303,0.005074177,6.111093974,0.026809877,-2.360832491,-221.9025694,1087,486.4201389,19.73701389,19.06,35.42,18.81482982
7512,26.5160007,118.5,78,67,11,,,Asia,26.58692361,1641.184444,17.62537963,0.019953488,10.10002427,0.065447099,-2.119669268,-209.0740278,1182,533.8003472,20.04402778,17.24,33.48,18.30674778
7513,26.5160007,119.5,58,49,9,,,Asia,25.79097724,1598.745794,17.58362211,0.011697335,7.181089986,-0.779242316,-1.96115335,-216.6446528,1162,370.1220472,20.73674704,15.49,31.23,18.34196357
7514,26.5160007,120.5,2,1,1,,,Asia,25.14762478,1520.45676,17.95109114,2.49E-05,0.070499996,0.000264316,-1.813131387,-225.7632639,456,109.122807,23.89384615,13.73,27.95,18.97779565
7515,26.5160007,126.5,1,1,,,,Asia,17.08444451,2184.911111,22.52800929,1.90E-05,0.0585,0.00020655,-1.644995626,-370.1469444,103,48.125,37.64556962,4.75,6.14,22.54058429
7516,26.5160007,127.5,71,65,5,1,,Asia,16.86114588,2103.752014,22.65224561,0.000273812,0.459000008,0.002246102,-1.708966855,-334.1330556,185,43.86206897,41.12107209,5.96,7.58,22.41793423
7517,26.5160007,128.5,33,31,2,,,Asia,16.50726427,2133.799073,21.96747163,0.000196313,0.455500006,0.001675685,-1.680132627,-266.3215278,283,111.2307692,28.81931464,5.88,7.48,12.3594503
7522,27.5160007,-114.5,6,4,2,,,North America,23.05464162,78.21069885,19.64424701,0.000710375,1.045499997,0.005150018,-2.324170739,13.289375,602,119.9903846,8.465596671,30.24,26.78,19.9878018
7523,27.5160007,-113.5,23,23,,,,North America,27.84929169,100.4262832,20.54384832,0.007538784,3.72172289,0.036847273,-2.338266787,0.829166667,1160,158.146087,5.292091659,35.23,30.92,23.69918742
7524,27.5160007,-112.5,18,18,,,,North America,28.87167099,158.9456444,21.81067529,7.96E-05,0.118999998,0.000751515,-2.359567412,-10.03506944,1238,365.8715847,5.254611254,38.23,34.85,22.48277895
7525,27.5160007,-111.5,27,24,2,1,,North America,24.46243381,210.5661376,24.26472664,3.07E-05,0.060000002,0.000319481,-2.326941867,-14.85125,130,33,26.61486486,41.48,38.37,NA
7526,27.5160007,-110.5,31,29,2,,,North America,28.36320777,331.5700553,24.38110625,0.002813125,3.538500013,0.016522775,-2.523579904,-17.039375,660,64.33944954,21.59619731,46.23,41.75,24.7894262
7527,27.5160007,-109.5,30,26,3,1,,North America,31.34514956,536.3704221,23.3016998,0.019746502,10.56669226,0.07247118,-2.594632815,9.656527778,1390,267.6069565,16.275264,48.74,43.85,23.54541437
7528,27.5160007,-108.5,53,49,4,,,North America,30.48165973,863.845,20.37176736,0.001119349,1.437095639,0.006991073,-2.602660875,4.684027778,2340,1204.472222,9.067638889,51.14,46.5,18.13936849
7529,27.5160007,-107.5,65,53,9,2,1,North America,31.2671597,780.4275694,14.98530353,0.00016616,0.311944284,0.001446014,-2.613982369,-35.10208333,2052,2137.862847,14.03118056,53.48,48.22,15.06830201
7530,27.5160007,-106.5,5,5,,,,North America,32.62602075,545.5204861,16.41802142,5.94E-06,0.017,7.15E-05,-2.657825246,10.27152778,1183,1852.180556,10.25229167,54.33,49.54,17.3243009
7531,27.5160007,-105.5,20,16,3,1,,North America,33.56256944,378.951875,18.59946874,0.016542909,6.502607686,0.067172256,-2.703480341,6.320416667,871,1455.071181,12.70118056,55.93,51.1,19.66440764
7532,27.5160007,-104.5,15,14,1,,,North America,32.93663889,350.5708333,18.37661979,0.001161749,1.242721374,0.007850901,-2.709934894,-15.13743056,827,1474.151042,8.878819444,56.09,51.61,19.56060804
7533,27.5160007,-103.5,9,8,1,,,North America,30.99794445,316.4764583,19.32726504,0.001526993,0.928444279,0.009901716,-2.747694753,-19.51111111,944,1253.182292,7.845208333,56.28,51.91,20.50791337
7534,27.5160007,-102.5,27,26,,1,,North America,30.0710347,321.5401389,18.57390249,1.07E-05,0.029500002,0.000122986,-2.676252046,-22.52979167,1552,1356.630208,7.140416667,57.16,52.57,19.11978113
7535,27.5160007,-101.5,43,41,1,1,,North America,30.40992359,380.7004861,20.64224538,0.000352313,0.753499998,0.002801234,-2.76054919,-42.13368056,1465,685.9045139,13.65284722,56.81,52.78,21.82150849
7536,27.5160007,-100.5,15,15,,,,North America,31.3294791,430.2795833,21.7641059,0.019537101,6.984255294,0.109630811,-2.881062476,-107.0028472,1167,301.3715278,10.11076389,56.3,52.01,23.40933628
7537,27.5160007,-99.5,24,21,3,,,North America,31.16551385,495.1584722,22.56052401,0.006662714,6.474989719,-1.795323238,-3.182305231,-116.7380556,151,165.7795139,15.028125,55.54,50.94,24.19410255
7538,27.5160007,-98.5,26,22,4,,,North America,30.06413884,611.088125,22.03641145,0.000789083,0.905444289,0.005637714,-3.609302065,-92.04298611,253,136.6527778,11.37027778,53.75,50,23.93659343
7539,27.5160007,-97.5,96,78,15,3,,North America,26.6384461,733.2324501,22.13694754,0.008830845,11.50750002,0.041765523,-4.070722219,-85.14423611,64,14.87414188,19.89439746,51.46,46.6,24.39808708
7541,27.5160007,-82.5,249,178,56,15,,North America,22.90702009,1292.381615,22.6104219,0.013335437,11.84538856,0.057573487,-1.690385677,6.719166667,55,17.07161804,33.78929564,31,31.9,24.02384603
7542,27.5160007,-81.5,202,146,40,16,,North America,23.85014596,1235.585208,22.48101825,0.060970481,26.90216563,0.170556716,-1.505548078,-19.43666667,65,27.17013889,23.93659722,31.93,32.86,23.9702822
7543,27.5160007,-80.5,165,121,35,9,,North America,22.35771493,1258.09485,22.72760088,0.051154014,13.15490088,0.152076501,-1.433967594,-91.04673611,27,12.10714286,25.6425456,29.6,31.12,24.50844577
7549,27.5160007,-15.5,54,45,7,2,,Africa,17.05925671,251.2924983,18.23143784,6.68E-05,0.186000003,0.00064231,-3.074268277,-262.2655556,1529,459.90625,31.67391304,12.62,20.41,18.31660805
7550,27.5160007,-13.5,16,10,4,1,1,Africa,17.4328896,30.78474026,20.67744047,0.002041312,1.757499979,0.012644221,-3.51101938,-205.9784722,98,41.32846715,13.37475728,16.04,23.44,23.17999069
7551,27.5160007,-12.5,1,1,,,,Africa,18.80996441,38.62571225,20.37904261,0.004502125,3.372500007,0.024325908,-3.552326375,-197.8896528,423,138.5559441,6.392628888,16.62,24.36,23.06524579
7552,27.5160007,-11.5,29,15,7,6,1,Africa,21.7793264,47.47013889,20.48559867,0.000267625,0.251999998,0.002201463,-3.463491324,-177.9997222,365,252.0972222,2.620138889,16.42,24.75,22.79029858
7558,27.5160007,-5.5,1,1,,,,Africa,39.00013198,19.40944444,25.46244011,5.12E-06,0.024499997,6.24E-05,-3.316089042,7.234791667,124,394.2621528,1.515,12.29,20.23,25.84997104
7563,27.5160007,-0.5,18,15,3,,,Africa,39.66734717,10.46138889,25.56773237,1.42E-05,0.031000003,0.000158377,-2.720103603,10.40194444,151,230.7170139,3.077152778,10.01,17.03,26.72109823
7566,27.5160007,2.5,5,4,,1,,Africa,38.60076372,23.25826389,25.0730538,9.69E-05,0.161499996,0.000895327,-2.379111409,17.23083333,402,370.3559028,2.267222222,0.07,0,27.05675831
7572,27.5160007,8.5,2,1,,1,,Africa,37.61124303,22.28736111,23.70584056,0.000218028,0.379611449,0.001838173,-2.196275478,3.8025,126,493.8854167,3.016875,8.55,8.46,25.24562079
7573,27.5160007,9.5,1,1,,,,Africa,36.79038887,19.77208333,23.42376505,2.87E-06,0.008999998,3.67E-05,-2.112255229,9.842291667,180,515.9913194,1.480138889,7.43,6.8,25.30443306
7595,27.5160007,31.5,1,1,,,,Africa,31.7173611,3.137708333,21.35727488,0.005351671,1.307096613,-0.222171436,-2.109004642,3.139722222,531,299.9010417,7.002986111,3.09,5.26,23.74046195
7597,27.5160007,33.5,2,2,,,,Asia,27.35008236,5.779938272,22.79068373,0.000218548,0.464944269,0.001842036,-1.473156532,3.930208333,1311,298.5941704,12.86248966,10.24,8.14,24.60251682
7623,27.5160007,59.5,1,1,,,,Asia,30.98873612,146.6520833,25.07379832,1.84E-05,0.047499998,0.000200371,-2.461588489,-121.0376389,1248,569.6371528,9.899305556,1.36,1.38,27.05498302
7624,27.5160007,60.5,2,2,,,,Asia,34.13637501,121.1288889,24.36848757,0.000198625,0.284499997,0.001693098,-2.420574395,-157.2415278,1294,878.8680556,13.09791667,1.25,1.27,25.46155545
7627,27.5160007,63.5,1,1,,,,Asia,36.39076403,72.63888889,23.89413137,1.24E-05,0.0505,0.000140479,-2.118892938,-32.58965278,1214,784.1545139,9.495833333,0.07,0.06,26.02321424
7631,27.5160007,67.5,1,1,,,,Asia,36.31921534,155.8042361,25.67723091,0.03659036,31.75866562,0.12103983,-0.753197931,72.24444444,1642,391.0833333,19.35208333,4.48,8.76,27.85332524
7632,27.5160007,68.5,2,1,1,,,Asia,37.26600694,98.78868056,26.84769533,0.019511183,22.91672781,-1.404624826,-0.008757279,57.54513889,70,57.359375,24.84020833,5.59,10.26,27.54336999
7640,27.5160007,76.5,24,19,4,1,,Asia,34.24965273,653.8080556,24.89397193,0.003557776,2.805999978,0.020060944,2.706647837,269.4713194,385,336.1788194,24.74722222,22.96,34.61,26.299877
