Species,Genus,Family,RangeSize,Groups
Sparganium glomeratum,Sparganium,Typhaceae,328,Widespread
Cyperus exaltatus,Cyperus,Cyperaceae,327,Widespread
Corrigiola litoralis,Corrigiola,Caryophyllaceae,325,Widespread
Paspalum repens,Paspalum,Poaceae,325,Widespread
Paspalum virgatum,Paspalum,Poaceae,325,Widespread
Heteranthera limosa,Heteranthera,Pontederiaceae,324,Widespread
Utricularia foliosa,Utricularia,Lentibulariaceae,324,Widespread
Cyperus hermaphroditus,Cyperus,Cyperaceae,322,Widespread
Cocos nucifera,Cocos,Arecaceae,321,Widespread
Eleocharis interstincta,Eleocharis,Cyperaceae,321,Widespread
Epilobium leptophyllum,Epilobium,Onagraceae,321,Widespread
Eleocharis montana,Eleocharis,Cyperaceae,319,Widespread
Heteranthera reniformis,Heteranthera,Pontederiaceae,319,Widespread
Marsilea drummondii,Marsilea,Marsileaceae,319,Widespread
Juncus subnodulosus,Juncus,Juncaceae,317,Widespread
Juncus tweedyi,Juncus,Juncaceae,317,Widespread
Elatine hydropiper,Elatine,Elatinaceae,316,Widespread
Potamogeton distinctus,Potamogeton,Potamogetonaceae,315,Widespread
Elytrophorus spicatus,Elytrophorus,Poaceae,314,Widespread
Hydrocotyle umbellata,Hydrocotyle,Araliaceae,314,Widespread
Hypericum mutilum,Hypericum,Hypericaceae,314,Widespread
Lythrum alatum,Lythrum,Lythraceae,314,Widespread
Sesbania herbacea,Sesbania,Fabaceae,314,Widespread
Murdannia nudiflora,Murdannia,Commelinaceae,311,Widespread
Cicuta bulbifera,Cicuta,Apiaceae,310,Widespread
Fuirena ciliaris,Fuirena,Cyperaceae,310,Widespread
Cyperus erythrorhizos,Cyperus,Cyperaceae,307,Widespread
Calyptrocarya glomerulata,Calyptrocarya,Cyperaceae,306,Widespread
Hygrophila costata,Hygrophila,Acanthaceae,305,Widespread
Eleocharis atropurpurea,Eleocharis,Cyperaceae,303,Widespread
Sporobolus michauxianus,Sporobolus,Poaceae,303,Widespread
Najas minor,Najas,Hydrocharitaceae,302,Widespread
Ludwigia erecta,Ludwigia,Onagraceae,301,Widespread
Baldellia ranunculoides,Baldellia,Alismataceae,300,Widespread
Commelina africana,Commelina,Commelinaceae,300,Widespread
Erythranthe guttata,Erythranthe,Phrymaceae,299,Widespread
