Species,Genus,Family,RangeSize,Groups
Aponogeton boivinianus,Aponogeton,Aponogetonaceae,4,Highly restricted
Aponogeton satarensis,Aponogeton,Aponogetonaceae,4,Highly restricted
Blyxa quadricostata,Blyxa,Hydrocharitaceae,4,Highly restricted
Bolboschoenus nobilis,Bolboschoenus,Cyperaceae,4,Highly restricted
Callitriche keniensis,Callitriche,Plantaginaceae,4,Highly restricted
Carpha filifolia,Carpha,Cyperaceae,4,Highly restricted
Cladopus hookeriana,Cladopus,Podostemaceae,4,Highly restricted
Cladopus queenslandicus,Cladopus,Podostemaceae,4,Highly restricted
Cryptocoryne affinis,Cryptocoryne,Araceae,4,Highly restricted
Cryptocoryne hudoroi,Cryptocoryne,Araceae,4,Highly restricted
Cryptocoryne minima,Cryptocoryne,Araceae,4,Highly restricted
Cryptocoryne spiralis,Cryptocoryne,Araceae,4,Highly restricted
Cyperus appendiculatus,Cyperus,Cyperaceae,4,Highly restricted
Cyperus byssaceus,Cyperus,Cyperaceae,4,Highly restricted
Cyperus demangei,Cyperus,Cyperaceae,4,Highly restricted
Diamantina lombardii,Diamantina,Podostemaceae,4,Highly restricted
Dichanthelium scabriusculum,Dichanthelium,Poaceae,4,Highly restricted
Elatine gussonei,Elatine,Elatinaceae,4,Highly restricted
Elatine paramoana,Elatine,Elatinaceae,4,Highly restricted
Elatine peruviana,Elatine,Elatinaceae,4,Highly restricted
Eleocharis emarginata,Eleocharis,Cyperaceae,4,Highly restricted
Eleocharis exigua,Eleocharis,Cyperaceae,4,Highly restricted
Eleocharis kleinii,Eleocharis,Cyperaceae,4,Highly restricted
Eleocharis tiarata,Eleocharis,Cyperaceae,4,Highly restricted
Epilobium tianschanicum,Epilobium,Onagraceae,4,Highly restricted
Erigeron heteromorphus,Erigeron,Asteraceae,4,Highly restricted
Eriocaulon altogibbosum,Eriocaulon,Eriocaulaceae,4,Highly restricted
Eriocaulon arechavaletae,Eriocaulon,Eriocaulaceae,4,Highly restricted
Eriocaulon flumineum,Eriocaulon,Eriocaulaceae,4,Highly restricted
Eriocaulon schippii,Eriocaulon,Eriocaulaceae,4,Highly restricted
Eriocaulon tuberiferum,Eriocaulon,Eriocaulaceae,4,Highly restricted
Fimbristylis tenuicula,Fimbristylis,Cyperaceae,4,Highly restricted
Fuirena trilobites,Fuirena,Cyperaceae,4,Highly restricted
Gratiola amphiantha,Gratiola,Plantaginaceae,4,Highly restricted
Hydrobryum japonicum,Hydrobryum,Podostemaceae,4,Highly restricted
Hydropectis aquatica,Hydropectis,Asteraceae,4,Highly restricted
Hypolytrum africanum,Hypolytrum,Cyperaceae,4,Highly restricted
Inversodicraea annithomae,Inversodicraea,Podostemaceae,4,Highly restricted
Inversodicraea bosii,Inversodicraea,Podostemaceae,4,Highly restricted
Isoetes biafrana,Isoetes,Isoetaceae,4,Highly restricted
Isoetes brasiliensis,Isoetes,Isoetaceae,4,Highly restricted
Isoetes cubana,Isoetes,Isoetaceae,4,Highly restricted
Isoetes gymnocarpa,Isoetes,Isoetaceae,4,Highly restricted
Isoetes luetzelburgii,Isoetes,Isoetaceae,4,Highly restricted
Isoetes melanotheca,Isoetes,Isoetaceae,4,Highly restricted
Isoetes tiguliana,Isoetes,Isoetaceae,4,Highly restricted
Isotoma rivalis,Isotoma,Campanulaceae,4,Highly restricted
Juncus subulitepalus,Juncus,Juncaceae,4,Highly restricted
Lagarosiphon steudneri,Lagarosiphon,Hydrocharitaceae,4,Highly restricted
Lagenandra toxicaria,Lagenandra,Araceae,4,Highly restricted
Ledermanniella letestui,Ledermanniella,Podostemaceae,4,Highly restricted
Ledermanniella raynaliorum,Ledermanniella,Podostemaceae,4,Highly restricted
Lobelia filicaulis,Lobelia,Campanulaceae,4,Highly restricted
Lophogyne fimbriata,Lophogyne,Podostemaceae,4,Highly restricted
Lophogyne fimbrifolia,Lophogyne,Podostemaceae,4,Highly restricted
Machaerina tetragona,Machaerina,Cyperaceae,4,Highly restricted
Macropodiella pellucida,Macropodiella,Podostemaceae,4,Highly restricted
Marsilea aethiopica,Marsilea,Marsileaceae,4,Highly restricted
Marsilea botryocarpa,Marsilea,Marsileaceae,4,Highly restricted
Marsilea unicornis,Marsilea,Marsileaceae,4,Highly restricted
Marsilea villifolia,Marsilea,Marsileaceae,4,Highly restricted
Mayaca baumii,Mayaca,Mayacaceae,4,Highly restricted
Micranthemum callitrichoides,Micranthemum,Linderniaceae,4,Highly restricted
Murdannia paraguayensis,Murdannia,Commelinaceae,4,Highly restricted
Myriophyllum indicum,Myriophyllum,Haloragaceae,4,Highly restricted
Myriophyllum mezianum,Myriophyllum,Haloragaceae,4,Highly restricted
Najas chinensis,Najas,Hydrocharitaceae,4,Highly restricted
Najas madagascariensis,Najas,Hydrocharitaceae,4,Highly restricted
Nymphaea alexii,Nymphaea,Nymphaeaceae,4,Highly restricted
Nymphaea guineensis,Nymphaea,Nymphaeaceae,4,Highly restricted
Nymphaea lukei,Nymphaea,Nymphaeaceae,4,Highly restricted
Nymphaea ondinea,Nymphaea,Nymphaeaceae,4,Highly restricted
Nymphoides coreana,Nymphoides,Menyanthaceae,4,Highly restricted
Ottelia cylindrica,Ottelia,Hydrocharitaceae,4,Highly restricted
Oxalis natans,Oxalis,Oxalidaceae,4,Highly restricted
Paepalanthus intermedius,Paepalanthus,Eriocaulaceae,4,Highly restricted
Paepalanthus schomburgkii,Paepalanthus,Eriocaulaceae,4,Highly restricted
Paspalum bertonii,Paspalum,Poaceae,4,Highly restricted
Pogogyne nudiuscula,Pogogyne,Lamiaceae,4,Highly restricted
Polytoca gigantea,Polytoca,Poaceae,4,Highly restricted
Potamogeton chongyangensis,Potamogeton,Potamogetonaceae,4,Highly restricted
Potamogeton spirilliformis,Potamogeton,Potamogetonaceae,4,Highly restricted
Rhyncholacis crassipes,Rhyncholacis,Podostemaceae,4,Highly restricted
Rhyncholacis nitelloides,Rhyncholacis,Podostemaceae,4,Highly restricted
Rhyncholacis varians,Rhyncholacis,Podostemaceae,4,Highly restricted
Rorippa hayanica,Rorippa,Brassicaceae,4,Highly restricted
Sagittaria fasciculata,Sagittaria,Alismataceae,4,Highly restricted
Sagittaria kurziana,Sagittaria,Alismataceae,4,Highly restricted
Sagittaria secundifolia,Sagittaria,Alismataceae,4,Highly restricted
Saxicolella flabellata,Saxicolella,Podostemaceae,4,Highly restricted
Sphaeranthus amaranthoides,Sphaeranthus,Asteraceae,4,Highly restricted
Steinchisma spathellosum,Steinchisma,Poaceae,4,Highly restricted
Stonesia gracilis,Stonesia,Podostemaceae,4,Highly restricted
Syngonanthus peruvianus,Syngonanthus,Eriocaulaceae,4,Highly restricted
Tetrachondra hamiltonii,Tetrachondra,Tetrachondraceae,4,Highly restricted
Trichanthecium caaguazuense,Trichanthecium,Poaceae,4,Highly restricted
Triglochin mexicana,Triglochin,Juncaginaceae,4,Highly restricted
Unigenes humifusa,Unigenes,Campanulaceae,4,Highly restricted
Urospatha loefgreniana,Urospatha,Araceae,4,Highly restricted
Utricularia antennifera,Utricularia,Lentibulariaceae,4,Highly restricted
Utricularia cymbantha,Utricularia,Lentibulariaceae,4,Highly restricted
Villarsia manningiana,Villarsia,Menyanthaceae,4,Highly restricted
Xanthosoma pottii,Xanthosoma,Araceae,4,Highly restricted
Aglaodorum griffithii,Aglaodorum,Araceae,3,Highly restricted
Ammannia capitellata,Ammannia,Lythraceae,3,Highly restricted
Ammannia heterophylla,Ammannia,Lythraceae,3,Highly restricted
Ammannia pedicellata,Ammannia,Lythraceae,3,Highly restricted
Apinagia batrachiifolia,Apinagia,Podostemaceae,3,Highly restricted
Apinagia glaziovii,Apinagia,Podostemaceae,3,Highly restricted
Apinagia surumuensis,Apinagia,Podostemaceae,3,Highly restricted
Aponogeton bullosus,Aponogeton,Aponogetonaceae,3,Highly restricted
Aponogeton fugax,Aponogeton,Aponogetonaceae,3,Highly restricted
Aponogeton prolifer,Aponogeton,Aponogetonaceae,3,Highly restricted
Aponogeton rigidifolius,Aponogeton,Aponogetonaceae,3,Highly restricted
Aponogeton schatzianus,Aponogeton,Aponogetonaceae,3,Highly restricted
Aponogeton viridis,Aponogeton,Aponogetonaceae,3,Highly restricted
Arachis palustris,Arachis,Fabaceae,3,Highly restricted
Callitriche vulcanicola,Callitriche,Plantaginaceae,3,Highly restricted
Calystegia x pulchra,Calystegia,Convolvulaceae,3,Highly restricted
Caperonia langsdorffii,Caperonia,Euphorbiaceae,3,Highly restricted
Cenchrus purpureus,Cenchrus,Poaceae,3,Highly restricted
Coelachne perpusilla,Coelachne,Poaceae,3,Highly restricted
Cotula myriophylloides,Cotula,Asteraceae,3,Highly restricted
Cryptocoryne cordata,Cryptocoryne,Araceae,3,Highly restricted
Cryptocoryne longicauda,Cryptocoryne,Araceae,3,Highly restricted
Cryptocoryne wendtii,Cryptocoryne,Araceae,3,Highly restricted
Cuphea rionegrensis,Cuphea,Lythraceae,3,Highly restricted
Cyanotis cucullata,Cyanotis,Commelinaceae,3,Highly restricted
Cypella aquatilis,Cypella,Iridaceae,3,Highly restricted
Cyperus bipartitus,Cyperus,Cyperaceae,3,Highly restricted
Cyperus kamtschaticus,Cyperus,Cyperaceae,3,Highly restricted
Cyperus matudae,Cyperus,Cyperaceae,3,Highly restricted
Cyperus mitis,Cyperus,Cyperaceae,3,Highly restricted
Cyperus xantholepis,Cyperus,Cyperaceae,3,Highly restricted
Dimeria neglecta,Dimeria,Poaceae,3,Highly restricted
Eleocharis ignota,Eleocharis,Cyperaceae,3,Highly restricted
Eleocharis pauciglumis,Eleocharis,Cyperaceae,3,Highly restricted
Eleocharis pedrovianae,Eleocharis,Cyperaceae,3,Highly restricted
Eleocharis rabenii,Eleocharis,Cyperaceae,3,Highly restricted
Eleocharis schlechteri,Eleocharis,Cyperaceae,3,Highly restricted
Eleocharis urceolatoides,Eleocharis,Cyperaceae,3,Highly restricted
Epilobium confusum,Epilobium,Onagraceae,3,Highly restricted
Eragrostis viscosa,Eragrostis,Poaceae,3,Highly restricted
Eriocaulon coniferum,Eriocaulon,Eriocaulaceae,3,Highly restricted
Eriocaulon epapillosum,Eriocaulon,Eriocaulaceae,3,Highly restricted
Eriocaulon neglectum,Eriocaulon,Eriocaulaceae,3,Highly restricted
Eriocaulon sachalinense,Eriocaulon,Eriocaulaceae,3,Highly restricted
Eryngium marocanum,Eryngium,Apiaceae,3,Highly restricted
Genlisea glandulosissima,Genlisea,Lentibulariaceae,3,Highly restricted
Genlisea uncinata,Genlisea,Lentibulariaceae,3,Highly restricted
Glossostigma trichodes,Glossostigma,Phrymaceae,3,Highly restricted
Grangea anthemoides,Grangea,Asteraceae,3,Highly restricted
Hydrobryum griffithii,Hydrobryum,Podostemaceae,3,Highly restricted
Hydrostachys lukungensis,Hydrostachys,Hydrostachyaceae,3,Highly restricted
Hydrostachys trifaria,Hydrostachys,Hydrostachyaceae,3,Highly restricted
Hygrophila balsamica,Hygrophila,Acanthaceae,3,Highly restricted
Hymenachne condensata,Hymenachne,Poaceae,3,Highly restricted
Hypericum microlicioides,Hypericum,Hypericaceae,3,Highly restricted
Inversodicraea gabonensis,Inversodicraea,Podostemaceae,3,Highly restricted
Isoetes alstonii,Isoetes,Isoetaceae,3,Highly restricted
Isoetes amazonica,Isoetes,Isoetaceae,3,Highly restricted
Isoetes anatolica,Isoetes,Isoetaceae,3,Highly restricted
Isoetes boomii,Isoetes,Isoetaceae,3,Highly restricted
Isoetes ecuadoriensis,Isoetes,Isoetaceae,3,Highly restricted
Isoetes fuscomarginata,Isoetes,Isoetaceae,3,Highly restricted
Isoetes gigantea,Isoetes,Isoetaceae,3,Highly restricted
Isoetes hieronymi,Isoetes,Isoetaceae,3,Highly restricted
Isoetes lithophila,Isoetes,Isoetaceae,3,Highly restricted
Isoetes melanospora,Isoetes,Isoetaceae,3,Highly restricted
Isoetes neoguineensis,Isoetes,Isoetaceae,3,Highly restricted
Isoetes organensis,Isoetes,Isoetaceae,3,Highly restricted
Isoetes prototypus,Isoetes,Isoetaceae,3,Highly restricted
Isoetes saracochensis,Isoetes,Isoetaceae,3,Highly restricted
Isoetes spannagelii,Isoetes,Isoetaceae,3,Highly restricted
Isoetes taiwanensis,Isoetes,Isoetaceae,3,Highly restricted
Isoetes toximontana,Isoetes,Isoetaceae,3,Highly restricted
Juncus requienii,Juncus,Juncaceae,3,Highly restricted
Lagenandra meeboldii,Lagenandra,Araceae,3,Highly restricted
Ledermanniella boloensis,Ledermanniella,Podostemaceae,3,Highly restricted
Ledermanniella guineensis,Ledermanniella,Podostemaceae,3,Highly restricted
Ledermanniella linearifolia,Ledermanniella,Podostemaceae,3,Highly restricted
Ledermanniella maturiniana,Ledermanniella,Podostemaceae,3,Highly restricted
Ledermanniella musciformis,Ledermanniella,Podostemaceae,3,Highly restricted
Legenere valdiviana,Legenere,Campanulaceae,3,Highly restricted
Lemna tenera,Lemna,Araceae,3,Highly restricted
Lilaeopsis mauritiana,Lilaeopsis,Apiaceae,3,Highly restricted
Limnophila aquatica,Limnophila,Plantaginaceae,3,Highly restricted
Limnophila bangweolensis,Limnophila,Plantaginaceae,3,Highly restricted
Limnophila laxa,Limnophila,Plantaginaceae,3,Highly restricted
Limnophila polystachya,Limnophila,Plantaginaceae,3,Highly restricted
Lobelia stenosiphon,Lobelia,Campanulaceae,3,Highly restricted
Lophogyne lacunosa,Lophogyne,Podostemaceae,3,Highly restricted
Luziola brasiliensis,Luziola,Poaceae,3,Highly restricted
Macropodiella hallaei,Macropodiella,Podostemaceae,3,Highly restricted
Marathrum cubanum,Marathrum,Podostemaceae,3,Highly restricted
Marsilea fenestrata,Marsilea,Marsileaceae,3,Highly restricted
Marsilea gibba,Marsilea,Marsileaceae,3,Highly restricted
Marsilea megalomanica,Marsilea,Marsileaceae,3,Highly restricted
Marsilea subterranea,Marsilea,Marsileaceae,3,Highly restricted
Meionectes brownii,Meionectes,Haloragaceae,3,Highly restricted
Myriophyllum coronatum,Myriophyllum,Haloragaceae,3,Highly restricted
Myriophyllum costatum,Myriophyllum,Haloragaceae,3,Highly restricted
Myriophyllum echinatum,Myriophyllum,Haloragaceae,3,Highly restricted
Najas australis,Najas,Hydrocharitaceae,3,Highly restricted
Neostapfia colusana,Neostapfia,Poaceae,3,Highly restricted
Nymphaea stuhlmannii,Nymphaea,Nymphaeaceae,3,Highly restricted
Nymphoides cambodiana,Nymphoides,Menyanthaceae,3,Highly restricted
Nymphoides verrucosa,Nymphoides,Menyanthaceae,3,Highly restricted
Orcuttia inaequalis,Orcuttia,Poaceae,3,Highly restricted
Oxalis disticha,Oxalis,Oxalidaceae,3,Highly restricted
Paspalum conspersum,Paspalum,Poaceae,3,Highly restricted
Paspalum glabrinode,Paspalum,Poaceae,3,Highly restricted
Persicaria diospyrifolia,Persicaria,Polygonaceae,3,Highly restricted
Persicaria pulchra,Persicaria,Polygonaceae,3,Highly restricted
Podostemum ovatum,Podostemum,Podostemaceae,3,Highly restricted
Pogogyne abramsii,Pogogyne,Lamiaceae,3,Highly restricted
Polypleurum wallichii,Polypleurum,Podostemaceae,3,Highly restricted
Pontederia gigantea,Pontederia,Pontederiaceae,3,Highly restricted
Pseudoraphis balansae,Pseudoraphis,Poaceae,3,Highly restricted
Ranunculus breviscapus,Ranunculus,Ranunculaceae,3,Highly restricted
Ranunculus kadzusensis,Ranunculus,Ranunculaceae,3,Highly restricted
Rhyncholacis apiculata,Rhyncholacis,Podostemaceae,3,Highly restricted
Rhyncholacis carinata,Rhyncholacis,Podostemaceae,3,Highly restricted
Rhyncholacis clavigera,Rhyncholacis,Podostemaceae,3,Highly restricted
Rorippa subumbellata,Rorippa,Brassicaceae,3,Highly restricted
Rotala floribunda,Rotala,Lythraceae,3,Highly restricted
Rotala gerardii,Rotala,Lythraceae,3,Highly restricted
Rotala juniperina,Rotala,Lythraceae,3,Highly restricted
Rotala macrandra,Rotala,Lythraceae,3,Highly restricted
Saxicolella nana,Saxicolella,Podostemaceae,3,Highly restricted
Schwenckia juncoides,Schwenckia,Solanaceae,3,Highly restricted
Scirpus ancistrochaetus,Scirpus,Cyperaceae,3,Highly restricted
Sparganium confertum,Sparganium,Typhaceae,3,Highly restricted
Stonesia heterospathella,Stonesia,Podostemaceae,3,Highly restricted
Stuckenia macrocarpa,Stuckenia,Potamogetonaceae,3,Highly restricted
Syngonanthus hygrotrichus,Syngonanthus,Eriocaulaceae,3,Highly restricted
Typha incana,Typha,Typhaceae,3,Highly restricted
Typha tichomirovii,Typha,Typhaceae,3,Highly restricted
Utricularia incisa,Utricularia,Lentibulariaceae,3,Highly restricted
Utricularia rhododactylos,Utricularia,Lentibulariaceae,3,Highly restricted
Vallisneria erecta,Vallisneria,Hydrocharitaceae,3,Highly restricted
Vallisneria spinulosa,Vallisneria,Hydrocharitaceae,3,Highly restricted
Vallisneria triptera,Vallisneria,Hydrocharitaceae,3,Highly restricted
Wiesneria triandra,Wiesneria,Alismataceae,3,Highly restricted
Xanthosoma riparium,Xanthosoma,Araceae,3,Highly restricted
Xyris sororia,Xyris,Xyridaceae,3,Highly restricted
Zannichellia aschersoniana,Zannichellia,Potamogetonaceae,3,Highly restricted
Zeylanidium olivaceum,Zeylanidium,Podostemaceae,3,Highly restricted
Zizaniopsis microstachya,Zizaniopsis,Poaceae,3,Highly restricted
Acrostichum danaeifolium,Acrostichum,Pteridaceae,2,Highly restricted
Alopecurus longiaristatus,Alopecurus,Poaceae,2,Highly restricted
Althenia patentifolia,Althenia,Potamogetonaceae,2,Highly restricted
Ambrosia artemisiifolia,Ambrosia,Asteraceae,2,Highly restricted
Angolaea fluitans,Angolaea,Podostemaceae,2,Highly restricted
Apinagia divaricata,Apinagia,Podostemaceae,2,Highly restricted
Apinagia fluitans,Apinagia,Podostemaceae,2,Highly restricted
Apinagia guairaensis,Apinagia,Podostemaceae,2,Highly restricted
Apinagia treslingiana,Apinagia,Podostemaceae,2,Highly restricted
Aponogeton bogneri,Aponogeton,Aponogetonaceae,2,Highly restricted
Aponogeton capuronii,Aponogeton,Aponogetonaceae,2,Highly restricted
Aponogeton kimberleyensis,Aponogeton,Aponogetonaceae,2,Highly restricted
Aponogeton loriae,Aponogeton,Aponogetonaceae,2,Highly restricted
Aponogeton robinsonii,Aponogeton,Aponogetonaceae,2,Highly restricted
Aponogeton troupinii,Aponogeton,Aponogetonaceae,2,Highly restricted
Aponogeton womersleyi,Aponogeton,Aponogetonaceae,2,Highly restricted
Aquarius decumbens,Aquarius,Alismataceae,2,Highly restricted
Aquarius emersus,Aquarius,Alismataceae,2,Highly restricted
Aquarius reptilis,Aquarius,Alismataceae,2,Highly restricted
Autana andersonii,Autana,Podostemaceae,2,Highly restricted
Bidens kamtschatica,Bidens,Asteraceae,2,Highly restricted
Bulbostylis aturensis,Bulbostylis,Cyperaceae,2,Highly restricted
Callitriche albomarginata,Callitriche,Plantaginaceae,2,Highly restricted
Callitriche compressa,Callitriche,Plantaginaceae,2,Highly restricted
Callitriche fuscicarpa,Callitriche,Plantaginaceae,2,Highly restricted
Callitriche hedbergiorum,Callitriche,Plantaginaceae,2,Highly restricted
Callitriche mathezii,Callitriche,Plantaginaceae,2,Highly restricted
Calystegia spithamaea,Calystegia,Convolvulaceae,2,Highly restricted
Caperonia buettneriacea,Caperonia,Euphorbiaceae,2,Highly restricted
Caperonia corchoroides,Caperonia,Euphorbiaceae,2,Highly restricted
Caperonia regnellii,Caperonia,Euphorbiaceae,2,Highly restricted
Carex cilicica,Carex,Cyperaceae,2,Highly restricted
Castelnavia monandra,Castelnavia,Podostemaceae,2,Highly restricted
Castelnavia pendulosa,Castelnavia,Podostemaceae,2,Highly restricted
Cladopus nymanii,Cladopus,Podostemaceae,2,Highly restricted
Cleome houtteana,Cleome,Cleomaceae,2,Highly restricted
Coix lacryma-jobi,Coix,Poaceae,2,Highly restricted
Cryptocoryne aponogetifolia,Cryptocoryne,Araceae,2,Highly restricted
Cryptocoryne bangkaensis,Cryptocoryne,Araceae,2,Highly restricted
Cryptocoryne cruddasiana,Cryptocoryne,Araceae,2,Highly restricted
Cryptocoryne ferruginea,Cryptocoryne,Araceae,2,Highly restricted
Cryptocoryne fusca,Cryptocoryne,Araceae,2,Highly restricted
Cryptocoryne mekongensis,Cryptocoryne,Araceae,2,Highly restricted
Cryptocoryne moehlmannii,Cryptocoryne,Araceae,2,Highly restricted
Cryptocoryne pygmaea,Cryptocoryne,Araceae,2,Highly restricted
Cryptocoryne schulzei,Cryptocoryne,Araceae,2,Highly restricted
Cyanaeorchis praetermissa,Cyanaeorchis,Orchidaceae,2,Highly restricted
Cynodon dactylon,Cynodon,Poaceae,2,Highly restricted
Cyperus barrosianus,Cyperus,Cyperaceae,2,Highly restricted
Cyperus berroi,Cyperus,Cyperaceae,2,Highly restricted
Cyperus ferax,Cyperus,Cyperaceae,2,Highly restricted
Cyperus spicigerus,Cyperus,Cyperaceae,2,Highly restricted
Cyrtosperma johnstonii,Cyrtosperma,Araceae,2,Highly restricted
Dicraeanthus zehnderi,Dicraeanthus,Podostemaceae,2,Highly restricted
Djinga felicis,Djinga,Podostemaceae,2,Highly restricted
Dopatrium acutifolium,Dopatrium,Plantaginaceae,2,Highly restricted
Dopatrium stachytarphetoides,Dopatrium,Plantaginaceae,2,Highly restricted
Elatine fassettiana,Elatine,Elatinaceae,2,Highly restricted
Eleocharis bahiensis,Eleocharis,Cyperaceae,2,Highly restricted
Eleocharis brasiliensis,Eleocharis,Cyperaceae,2,Highly restricted
Eleocharis hatschbachii,Eleocharis,Cyperaceae,2,Highly restricted
Eleocharis obpyriformis,Eleocharis,Cyperaceae,2,Highly restricted
Eleocharis olivaceonux,Eleocharis,Cyperaceae,2,Highly restricted
Eleocharis tuvinica,Eleocharis,Cyperaceae,2,Highly restricted
Emmeorhiza umbellata,Emmeorhiza,Rubiaceae,2,Highly restricted
Epilobium psilotum,Epilobium,Onagraceae,2,Highly restricted
Eriocaulon araguaiense,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon cabralense,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon chinorossicum,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon cuspidatum,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon dictyophyllum,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon fluviatile,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon majusculum,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon nigrobracteatum,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon obtusum,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon panamense,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon petraeum,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon pilgeri,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon regnellii,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon reitzii,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon stipantepalum,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriocaulon ulaei,Eriocaulon,Eriocaulaceae,2,Highly restricted
Eriochloa punctata,Eriochloa,Poaceae,2,Highly restricted
Erythranthe inflata,Erythranthe,Phrymaceae,2,Highly restricted
Fuirena cuspidata,Fuirena,Cyperaceae,2,Highly restricted
Fuirena uncinata,Fuirena,Cyperaceae,2,Highly restricted
Hanguana major,Hanguana,Hanguanaceae,2,Highly restricted
Hemisorghum mekongense,Hemisorghum,Poaceae,2,Highly restricted
Heteranthera catharinensis,Heteranthera,Pontederiaceae,2,Highly restricted
Hydrostachys decaryi,Hydrostachys,Hydrostachyaceae,2,Highly restricted
Hydrostachys insignis,Hydrostachys,Hydrostachyaceae,2,Highly restricted
Hydrostachys triaxialis,Hydrostachys,Hydrostachyaceae,2,Highly restricted
Hydrothauma manicatum,Hydrothauma,Poaceae,2,Highly restricted
Inversodicraea abbayesii,Inversodicraea,Podostemaceae,2,Highly restricted
Inversodicraea boumiensis,Inversodicraea,Podostemaceae,2,Highly restricted
Inversodicraea paulsitae,Inversodicraea,Podostemaceae,2,Highly restricted
Inversodicraea warmingiana,Inversodicraea,Podostemaceae,2,Highly restricted
Ipomoea cairica,Ipomoea,Convolvulaceae,2,Highly restricted
Isachne hirtiglumis,Isachne,Poaceae,2,Highly restricted
Isoetes abyssinica,Isoetes,Isoetaceae,2,Highly restricted
Isoetes araucaniana,Isoetes,Isoetaceae,2,Highly restricted
Isoetes chubutiana,Isoetes,Isoetaceae,2,Highly restricted
Isoetes creussensis,Isoetes,Isoetaceae,2,Highly restricted
Isoetes georgiana,Isoetes,Isoetaceae,2,Highly restricted
Isoetes giessii,Isoetes,Isoetaceae,2,Highly restricted
Isoetes microvela,Isoetes,Isoetaceae,2,Highly restricted
Isoetes mourabaptistae,Isoetes,Isoetaceae,2,Highly restricted
Isoetes quiririensis,Isoetes,Isoetaceae,2,Highly restricted
Isoetes sehnemii,Isoetes,Isoetaceae,2,Highly restricted
Isoetes tegetiformans,Isoetes,Isoetaceae,2,Highly restricted
Isoetes ulei,Isoetes,Isoetaceae,2,Highly restricted
Isoetes wormaldii,Isoetes,Isoetaceae,2,Highly restricted
Juncus marginatus,Juncus,Juncaceae,2,Highly restricted
Justicia sarmentosa,Justicia,Acanthaceae,2,Highly restricted
Lagarosiphon rubellus,Myriophyllum,Hydrocharitaceae,2,Highly restricted
Lagenandra praetermissa,Lagenandra,Araceae,2,Highly restricted
Lebbiea grandiflora,Lebbiea,Podostemaceae,2,Highly restricted
Ledermanniella keayi,Ledermanniella,Podostemaceae,2,Highly restricted
Ledermanniella letouzeyi,Ledermanniella,Podostemaceae,2,Highly restricted
Ledermanniella nicolasii,Ledermanniella,Podostemaceae,2,Highly restricted
Ledermanniella onanae,Ledermanniella,Podostemaceae,2,Highly restricted
Ledermanniella sanagaensis,Ledermanniella,Podostemaceae,2,Highly restricted
Limnophila geoffrayi,Limnophila,Plantaginaceae,2,Highly restricted
Limnophila siamensis,Limnophila,Plantaginaceae,2,Highly restricted
Louisiella fluitans,Louisiella,Poaceae,2,Highly restricted
Ludwigia albiflora,Ludwigia,Onagraceae,2,Highly restricted
Luziola divergens,Luziola,Poaceae,2,Highly restricted
Marathrum rubrum,Marathrum,Podostemaceae,2,Highly restricted
Marathrum striatifolium,Marathrum,Podostemaceae,2,Highly restricted
Marsilea apposita,Marsilea,Marsileaceae,2,Highly restricted
Marsilea fadeniana,Marsilea,Marsileaceae,2,Highly restricted
Micranthemum micranthemoides,Micranthemum,Linderniaceae,2,Highly restricted
Murdannia burchellii,Murdannia,Commelinaceae,2,Highly restricted
Myriophyllum striatocarpum,Myriophyllum,Haloragaceae,2,Highly restricted
Myriophyllum trifidum,Myriophyllum,Haloragaceae,2,Highly restricted
Myriophyllum tuberculatum,Myriophyllum,Haloragaceae,2,Highly restricted
Najas tenuis,Najas,Hydrocharitaceae,2,Highly restricted
Navarretia myersii,Navarretia,Polemoniaceae,2,Highly restricted
Nymphaea vanildae,Nymphaea,Nymphaeaceae,2,Highly restricted
Nymphoides flaccida,Nymphoides,Menyanthaceae,2,Highly restricted
Nymphoides guineensis,Nymphoides,Menyanthaceae,2,Highly restricted
Nymphoides humilis,Nymphoides,Menyanthaceae,2,Highly restricted
Ottelia mesenterium,Ottelia,Hydrocharitaceae,2,Highly restricted
Ottelia scabra,Ottelia,Hydrocharitaceae,2,Highly restricted
Ottelia verdickii,Ottelia,Hydrocharitaceae,2,Highly restricted
Paspalum lacustre,Paspalum,Poaceae,2,Highly restricted
Persicaria nogueirae,Persicaria,Polygonaceae,2,Highly restricted
