Grid_ID,Lat,Lon,Richness,Continent,TEMPR,PREC,TEMP,AREA,PERIMETER,Hw,TEMPLGM,PRECLGM,ALTR,ALTM,MDE,HII
125,-46.4840012,-71.5,70,South America,21.9854653,335.8877778,6.225707759,0.14220068,10.37844427,0.277364699,-6.615220191,57.77236111,1793,881.1753472,69.84,4.931458333
126,-46.4840012,-70.5,67,South America,23.94351388,170.57625,9.104124133,0.0019705,2.856500022,0.012275167,-5.890473099,28.17736111,933,641.8350694,68.41,6.000625
129,-46.4840012,-67.5,63,South America,23.08394309,207.4547801,11.51986461,0.002151375,1.947999979,0.013212988,-4.597276344,45.40888889,429,208.5831135,49.72,8.695054336
140,-45.4840012,-74.5,21,South America,14.33115093,2281.696259,7.527309904,0.00359737,4.323890046,0.020244389,-7.318586801,247.23,794,196.378866,61.57,4.989235397
141,-45.4840012,-73.5,21,South America,15.75238329,2233.645914,7.033120541,0.007669653,6.726555763,0.037354921,-7.568919855,357.6647222,1471,332.7810761,69.24,4.85078125
142,-45.4840012,-72.5,24,South America,17.99498736,1522.993541,5.597991261,0.023808597,8.802444297,0.088989596,-7.169699363,315.9436806,1577,789.375,72.38,6.328491228
143,-45.4840012,-71.5,56,South America,21.51070835,594.7698611,6.301307874,0.009871695,6.2590557,0.045588313,-6.476585069,135.8526389,1048,859.0069444,73.43,7.869861111
144,-45.4840012,-70.5,52,South America,24.34885419,233.6999306,8.941043693,0.002592938,1.957500002,0.015440849,-6.043259556,35.5225,418,615.3038194,70.7,6.169513889
145,-45.4840012,-69.5,52,South America,24.95027772,156.39875,9.822196475,0.05729468,6.373944257,0.163836859,-5.481658567,30.43784722,911,537.9479167,67.1,7.898194444
146,-45.4840012,-68.5,52,South America,24.93888194,164.1158333,10.56736748,0.0901905,9.594999991,0.216983117,-5.007005208,41.62298611,628,442.390625,56.33,11.24076389
147,-45.4840012,-67.5,53,South America,23.78765665,197.1326098,10.91131992,0.00074375,0.626500016,0.00535783,-4.685020542,51.67951389,709,400.8850325,48.13,18.57628013
161,-44.4840012,-72.5,56,South America,17.66694214,1852.109869,6.584520339,0.010533725,6.145425509,0.149594549,-6.723231775,347.7280556,1716,720.2052632,76.77,4.88500814
162,-44.4840012,-71.5,55,South America,21.42538889,731.559375,5.956078126,0.024651805,7.251944269,0.091283297,-6.137740741,149.60625,1331,1028.677083,76.4,4.625277778
163,-44.4840012,-70.5,56,South America,24.8506597,248.904375,8.485899887,0.002198422,1.931388562,0.013454375,-5.76302171,44.27923611,767,748.2604167,73.6,5.605972222
175,-43.4840012,-74.5,68,South America,13.7298942,2116.834215,8.145271163,0.001089375,0.9335,0.007431881,-5.76223843,59.45527778,285,82.88405797,71.63,11.06942702
